Mon May 2 17:36:01 MSK 2022
Filesystem           Size  Used Avail Use% Mounted on
devtmpfs             7.7G     0  7.7G   0% /dev
tmpfs                7.8G     0  7.8G   0% /dev/shm
tmpfs                7.8G   18M  7.7G   1% /run
tmpfs                7.8G     0  7.8G   0% /sys/fs/cgroup
/dev/mapper/ol-root   70G   24G   47G  34% /
/dev/sda2            497M  179M  318M  37% /boot
/dev/sda1            200M  7.5M  193M   4% /boot/efi
/dev/mapper/ol-u01   158G   96G   54G  65% /u01
tmpfs                1.6G     0  1.6G   0% /run/user/54321
tmpfs                1.6G     0  1.6G   0% /run/user/0
/dev/sdb2            7.3T  4.2T  3.2T  57% /mnt
Tue May 3 10:00:01 MSK 2022
Filesystem           Size  Used Avail Use% Mounted on
devtmpfs             7.7G     0  7.7G   0% /dev
tmpfs                7.8G     0  7.8G   0% /dev/shm
tmpfs                7.8G   18M  7.7G   1% /run
tmpfs                7.8G     0  7.8G   0% /sys/fs/cgroup
/dev/mapper/ol-root   70G   24G   47G  34% /
/dev/sda2            497M  179M  318M  37% /boot
/dev/sda1            200M  7.5M  193M   4% /boot/efi
/dev/mapper/ol-u01   158G   96G   54G  65% /u01
tmpfs                1.6G     0  1.6G   0% /run/user/54321
tmpfs                1.6G     0  1.6G   0% /run/user/0
/dev/sdb2            7.3T  4.2T  3.2T  57% /mnt
Wed May 4 10:00:01 MSK 2022
Filesystem           Size  Used Avail Use% Mounted on
devtmpfs             7.7G     0  7.7G   0% /dev
tmpfs                7.8G     0  7.8G   0% /dev/shm
tmpfs                7.8G   18M  7.7G   1% /run
tmpfs                7.8G     0  7.8G   0% /sys/fs/cgroup
/dev/mapper/ol-root   70G   24G   47G  34% /
/dev/sda2            497M  179M  318M  37% /boot
/dev/sda1            200M  7.5M  193M   4% /boot/efi
/dev/mapper/ol-u01   158G   97G   54G  65% /u01
tmpfs                1.6G     0  1.6G   0% /run/user/54321
tmpfs                1.6G     0  1.6G   0% /run/user/0
/dev/sdb2            7.3T  4.2T  3.2T  57% /mnt
Wed May 4 23:53:03 MSK 2022
Filesystem           Size  Used Avail Use% Mounted on
devtmpfs             7.7G     0  7.7G   0% /dev
tmpfs                7.8G     0  7.8G   0% /dev/shm
tmpfs                7.8G   18M  7.7G   1% /run
tmpfs                7.8G     0  7.8G   0% /sys/fs/cgroup
/dev/mapper/ol-root   70G   24G   47G  34% /
/dev/sda2            497M  179M  318M  37% /boot
/dev/sda1            200M  7.5M  193M   4% /boot/efi
/dev/mapper/ol-u01   158G   97G   54G  65% /u01
tmpfs                1.6G     0  1.6G   0% /run/user/54321
tmpfs                1.6G     0  1.6G   0% /run/user/0
/dev/sdb2            7.3T  4.2T  3.2T  57% /mnt
tmpfs                1.6G     0  1.6G   0% /run/user/54322
Wed May 4 23:54:17 MSK 2022
Filesystem           Size  Used Avail Use% Mounted on
devtmpfs             7.7G     0  7.7G   0% /dev
tmpfs                7.8G     0  7.8G   0% /dev/shm
